Filename, RDD, TF, Size, Dynamic-runtime, Dynamic-tardiness, Approx-e=0.1-runtime, Approx-e=0.1-tardiness, Approx-e=0.2-runtime, Approx-e=0.2-tardiness, Approx-e=0.3-runtime, Approx-e=0.3-tardiness, Greedy-runtime, Greedy-tardiness, BestFirst-runtime, BestFirst-tardiness
random_RDD=0.6_TF=0.6_#25.dat, 0.6, 0.6, 25, 1, 2861, 1, 2861, 1, 2861, 1, 2861, 0, 4429, NaN, NaN
random_RDD=0.6_TF=0.6_#30.dat, 0.6, 0.6, 30, 5, 3125, 8, 3125, 10, 3125, 9, 3125, 0, 5137, NaN, NaN
random_RDD=0.6_TF=0.6_#35.dat, 0.6, 0.6, 35, 8, 5381, 14, 5381, 12, 5381, 15, 5381, 0, 9775, NaN, NaN
random_RDD=0.6_TF=0.6_#40.dat, 0.6, 0.6, 40, 12, 7433, 15, 7433, 17, 7433, 15, 7433, 0, 11148, NaN, NaN
random_RDD=0.6_TF=0.6_#45.dat, 0.6, 0.6, 45, 140, 7128, 175, 7128, 173, 7128, 177, 7128, 0, 13372, NaN, NaN
random_RDD=0.6_TF=0.6_#50.dat, 0.6, 0.6, 50, 160, 7023, 297, 7023, 299, 7023, 309, 7023, 0, 11113, NaN, NaN
random_RDD=0.6_TF=0.6_#55.dat, 0.6, 0.6, 55, 230, 8371, 342, 8371, 338, 8371, 341, 8371, 0, 15840, NaN, NaN
random_RDD=0.6_TF=0.6_#60.dat, 0.6, 0.6, 60, 183, 12027, 265, 12027, 265, 12027, 260, 12027, 0, 20420, NaN, NaN
random_RDD=0.6_TF=0.6_#65.dat, 0.6, 0.6, 65, 170, 15394, 250, 15394, 252, 15394, 248, 15394, 0, 28069, NaN, NaN
random_RDD=0.6_TF=0.6_#70.dat, 0.6, 0.6, 70, 588, 24692, 781, 24692, 771, 24692, 768, 24692, 1, 48120, NaN, NaN
random_RDD=0.6_TF=0.8_#5.dat, 0.6, 0.8, 5, 0, 273, 0, 297, 0, 297, 0, 297, 0, 374, 0, 297
random_RDD=0.6_TF=0.8_#10.dat, 0.6, 0.8, 10, 0, 1152, 0, 1152, 0, 1152, NaN, NaN, 0, 2022, 4668, 1152
random_RDD=0.6_TF=0.8_#15.dat, 0.6, 0.8, 15, 0, 2349, 0, 2349, 0, 2349, 0, 2349, 0, 4555, NaN, NaN
random_RDD=0.6_TF=0.8_#20.dat, 0.6, 0.8, 20, 0, 6745, 1, 6783, 1, 6783, 1, 6783, 0, 8343, NaN, NaN
random_RDD=0.6_TF=0.8_#25.dat, 0.6, 0.8, 25, 0, 6805, 0, 6805, 0, 6805, 0, 6805, 0, 10391, NaN, NaN
random_RDD=0.6_TF=0.8_#30.dat, 0.6, 0.8, 30, 1, 8517, 1, 8517, 2, 8517, 1, 8519, 0, 13555, NaN, NaN
random_RDD=0.6_TF=0.8_#35.dat, 0.6, 0.8, 35, 0, 9777, 1, 9777, 1, 9777, 1, 9777, 0, 14344, NaN, NaN
random_RDD=0.6_TF=0.8_#40.dat, 0.6, 0.8, 40, 3, 17005, 4, 17005, 5, 17007, 4, 17007, 1, 28246, NaN, NaN
random_RDD=0.6_TF=0.8_#45.dat, 0.6, 0.8, 45, 4, 20273, 3, 20273, 4, 20273, 5, 20273, 0, 33980, NaN, NaN
random_RDD=0.6_TF=0.8_#50.dat, 0.6, 0.8, 50, 1, 27736, 2, 27736, 2, 27739, 2, 27741, 0, 41722, NaN, NaN
random_RDD=0.6_TF=0.8_#55.dat, 0.6, 0.8, 55, 8, 27770, 11, 27770, 11, 27770, 12, 27780, 1, 48731, NaN, NaN
random_RDD=0.6_TF=0.8_#60.dat, 0.6, 0.8, 60, 46, 23138, 69, 23139, 68, 23140, 67, 23140, 0, 47744, NaN, NaN
random_RDD=0.6_TF=0.8_#65.dat, 0.6, 0.8, 65, 266, 35858, 348, 35858, 332, 35860, 358, 35860, 144, 59595, NaN, NaN
random_RDD=0.6_TF=0.8_#70.dat, 0.6, 0.8, 70, 53, 49079, 77, 49079, NaN, NaN, 81, 49079, 1, 77553, NaN, NaN
random_RDD=0.6_TF=1.0_#5.dat, 0.6, 1.0, 5, 0, 496, 0, 496, 0, 496, 0, 496, 0, 568, 0, 496
random_RDD=0.6_TF=1.0_#10.dat, 0.6, 1.0, 10, 0, 1867, 1, 1867, 1, 1867, 1, 1867, 0, 2567, 5171, 1867
random_RDD=0.6_TF=1.0_#15.dat, 0.6, 1.0, 15, 0, 3597, 0, 3597, 0, 3597, 0, 3597, 0, 5942, NaN, NaN
random_RDD=0.6_TF=1.0_#20.dat, 0.6, 1.0, 20, 0, 7565, 0, 7565, 0, 7566, NaN, NaN, 0, 9635, NaN, NaN
